Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;232784;"CAMISA;BATA UNI;FECHADA;POLI";11;UNIFORMES E EPI'S;-15;-1134,45;-15
julho;704;ROLANDIA - AB. AVES;235237;BUCHA REDUCAO TUBO MATERIAL;6;MANUTENÇÃO HIDRAULICA E CIVIL;-2;-30,51083334;-2
julho;704;ROLANDIA - AB. AVES;235253;BUCHA REDUCAO TUBO MATERIAL ;6;MANUTENÇÃO HIDRAULICA E CIVIL;-1;-5,986;-1
julho;704;ROLANDIA - AB. AVES;235826;"MANCAL;MAREL/662013";5;MANUTENÇÃO MECANICA;-5;-990,84;-5
julho;704;ROLANDIA - AB. AVES;236420;UNIAO FE MALE GALVANIZADO FO;6;MANUTENÇÃO HIDRAULICA E CIVIL;-4;-342,4;-4
julho;704;ROLANDIA - AB. AVES;236993;COTOVELO TUBO NAO METALICO T;6;MANUTENÇÃO HIDRAULICA E CIVIL;-2;-5,9;-2
julho;704;ROLANDIA - AB. AVES;237051;COTOVELO FEMEA ANG 90° FERR;6;MANUTENÇÃO HIDRAULICA E CIVIL;-3;-47,647;-3
julho;704;ROLANDIA - AB. AVES;237786;"MEIO CULTURA;STAPLYLOCOCCUS;";19;MATERIAIS DE LABORATÓRIO;-5;-2036,798627;-5
julho;704;ROLANDIA - AB. AVES;239437;CAPSULA ESPECIFICO 200000500;5;MANUTENÇÃO MECANICA;-3;-1587,655;-3
julho;704;ROLANDIA - AB. AVES;240885;LIMA MECANICA FORMATO CHATO;5;MANUTENÇÃO MECANICA;-3;-81,64872727;-3
julho;704;ROLANDIA - AB. AVES;240990;LIXA FOLHA TIPO FERRO GRANA;5;MANUTENÇÃO MECANICA;-17;-76,71630205;-17
julho;704;ROLANDIA - AB. AVES;241075;LIXA FOLHA TIPO FERRO GRANA;5;MANUTENÇÃO MECANICA;-4;-11,66202592;-4
julho;704;ROLANDIA - AB. AVES;241202;PREGO TIPO C/CABECA MATERIAL;6;MANUTENÇÃO HIDRAULICA E CIVIL;-20;-256;-20
julho;704;ROLANDIA - AB. AVES;241954;SOLVENTE THINNER RENNER EMBA;6;MANUTENÇÃO HIDRAULICA E CIVIL;-2;-243,693;-2
julho;704;ROLANDIA - AB. AVES;242340;"PLACA;TOLEDO/6214703";299;ITENS CRITICOS;-1;-1226,643333;-1
julho;704;ROLANDIA - AB. AVES;243884;OLEO SOLUVEL GRAU ALIMENTICI;10;COMBUSTIVEIS E LUBRIFICANTES;-1;-514,638;-1
